subject	frame	mean	roi	roicode
group	1	-0.875552333760684	1	1
group	2	34.6651703632479	1	1
group	3	41.2459592307692	1	1
group	4	16.9342073226496	1	1
group	5	3.99709494230769	1	1
group	6	1.26771615042735	1	1
group	7	-2.274353525	1	1
group	8	-3.27763802350427	1	1
group	9	0.188783081196581	1	1
group	10	1.10842872863248	1	1
group	11	3.4281626025641	1	1
group	12	1.30527693034188	1	1
group	13	2.53657463675214	1	1
group	14	4.96174734615385	1	1
group	15	6.64230565598291	1	1
group	16	7.94304072649573	1	1
group	17	6.18149906410256	1	1
group	18	9.76591147435897	1	1
group	19	8.66600525213675	1	1
group	20	5.79668003632479	1	1
group	21	7.09656604273504	1	1
group	22	6.23190187910256	1	1
group	23	3.47545654700855	1	1
group	24	5.79671778205128	1	1
group	25	3.87082583333333	1	1
group	26	3.02031459401709	1	1
group	27	1.16153403846154	1	1
group	28	-0.111541963675214	1	1
group	29	-0.529126102564103	1	1
group	30	-0.505917145299145	1	1
group	31	-0.34009714957265	1	1
group	32	-0.182252848290598	1	1
group	33	-4.27421629273504	1	1
group	1	-1.92761214285714	2	2
group	2	16.1985226941558	2	2
group	3	18.8719907987013	2	2
group	4	1.22589978463203	2	2
group	5	-7.41278808658009	2	2
group	6	-7.99524811363636	2	2
group	7	-10.1216981774892	2	2
group	8	-11.2330833398268	2	2
group	9	-8.04412595530303	2	2
group	10	-6.29418430844156	2	2
group	11	-4.78522898164502	2	2
group	12	-6.61260048896104	2	2
group	13	-4.70273348701299	2	2
group	14	-2.15218576077922	2	2
group	15	-0.264673656926407	2	2
group	16	-0.477071864036797	2	2
group	17	-1.41707050865801	2	2
group	18	1.64097605411255	2	2
group	19	0.0882179854978355	2	2
group	20	-3.01200076731602	2	2
group	21	-1.27897726948052	2	2
group	22	-1.98559293831169	2	2
group	23	-3.08816873138528	2	2
group	24	-1.52380314978355	2	2
group	25	-4.02661299035714	2	2
group	26	-3.1418996017316	2	2
group	27	-1.20834052922078	2	2
group	28	0.116644123376623	2	2
group	29	0.550278043290043	2	2
group	30	0.526107021969697	2	2
group	31	0.354298633225108	2	2
group	32	0.189410092965368	2	2
group	33	-4.99759916125541	2	2
group	1	-2.55981736944444	3	3
group	2	12.3595186888889	3	3
group	3	-1.26700054722222	3	3
group	4	-25.3483011527778	3	3
group	5	-32.6345239722222	3	3
group	6	-32.4564330277778	3	3
group	7	-33.8506403888889	3	3
group	8	-35.29531675	3	3
group	9	-32.6970473847222	3	3
group	10	-29.9115488847222	3	3
group	11	-26.8002870972222	3	3
group	12	-28.9066184833333	3	3
group	13	-26.1282463527778	3	3
group	14	-22.1140581388889	3	3
group	15	-19.8125978125	3	3
group	16	-19.1531997944444	3	3
group	17	-20.7039973472222	3	3
group	18	-16.9752367152778	3	3
group	19	-19.1454120972222	3	3
group	20	-23.0755580805556	3	3
group	21	-19.7078917361111	3	3
group	22	-20.5237526280556	3	3
